exp.name,ip,input,layout,description
MAPK8.2,SRR074397,SRR074397,SINGLE,TF
MAX.1,SRR915919,SRR915919,SINGLE,TF
MBD1.1,SRR527147,SRR527147,SINGLE,TF
MBD1.2,SRR527145,SRR527145,SINGLE,TF
MBD1.3,SRR527159,SRR527159,SINGLE,TF
MBD2.1,SRR527150,SRR527150,SINGLE,TF
MBD2.2,SRR527161,SRR527161,SINGLE,TF
MBD2.3,SRR527128,SRR527128,SINGLE,TF
MBD3.1,SRR341119,SRR341119,SINGLE,TF
MBD3.10,SRR1569085,SRR1569085,SINGLE,TF
MBD3.11,SRR1734330,SRR1734330,SINGLE,TF
MBD4.1,SRR527154,SRR527154,SINGLE,TF
MBD4.2,SRR527131,SRR527131,SINGLE,TF
MBD4.3,SRR669321,SRR669321,SINGLE,TF
MCRS1.1,SRR1258417,SRR1258417,SINGLE,TF
MCRS1.2,SRR1258418,SRR1258418,SINGLE,TF
MECP2.1,SRR527158,SRR527158,SINGLE,TF
MECP2.2,SRR527156,SRR527156,SINGLE,TF
MECP2.3,SRR527133,SRR527133,SINGLE,TF
MED1.1,SRR058993,SRR058993,SINGLE,TF
MED1.10,SRR1514342,SRR1514342,SINGLE,TF
MED1.2,SRR058988,SRR058988,SINGLE,TF
MED12.1,SRR058994,SRR058994,SINGLE,TF
MED12.2,SRR058986,SRR058986,SINGLE,TF
